scene0707_00_60: scans/scene0707_00/pnvlad_pcd/scene0707_00_60_sub.bin
--scene0707_00_0: 0.4493999768746426 SUCCESS
scene0707_00_105: scans/scene0707_00/pnvlad_pcd/scene0707_00_105_sub.bin
--scene0767_00_0: FAIL
--scene0753_00_0: FAIL
--scene0735_00_0: FAIL
scene0707_00_180: scans/scene0707_00/pnvlad_pcd/scene0707_00_180_sub.bin
--scene0728_00_0: FAIL
--scene0785_00_1035: FAIL
--scene0734_00_1155: FAIL
scene0707_00_195: scans/scene0707_00/pnvlad_pcd/scene0707_00_195_sub.bin
--scene0776_00_570: FAIL
--scene0775_00_450: FAIL
--scene0749_00_2205: FAIL
scene0707_00_225: scans/scene0707_00/pnvlad_pcd/scene0707_00_225_sub.bin
--scene0717_00_150: FAIL
--scene0757_00_1590: FAIL
--scene0793_00_0: FAIL
scene0707_00_300: scans/scene0707_00/pnvlad_pcd/scene0707_00_300_sub.bin
--scene0757_00_1140: FAIL
--scene0801_00_0: FAIL
--scene0772_00_435: FAIL
scene0707_00_345: scans/scene0707_00/pnvlad_pcd/scene0707_00_345_sub.bin
--scene0761_00_0: FAIL
--scene0709_00_0: FAIL
--scene0715_00_0: FAIL
scene0707_00_390: scans/scene0707_00/pnvlad_pcd/scene0707_00_390_sub.bin
--scene0707_00_0: 3.5990808064275246 FAIL
--scene0760_00_0: FAIL
--scene0754_00_2295: FAIL
scene0707_00_465: scans/scene0707_00/pnvlad_pcd/scene0707_00_465_sub.bin
--scene0778_00_0: FAIL
--scene0793_00_1245: FAIL
--scene0737_00_0: FAIL
scene0707_00_495: scans/scene0707_00/pnvlad_pcd/scene0707_00_495_sub.bin
--scene0784_00_0: FAIL
--scene0777_00_435: FAIL
--scene0758_00_315: FAIL
scene0707_00_540: scans/scene0707_00/pnvlad_pcd/scene0707_00_540_sub.bin
--scene0757_00_1140: FAIL
--scene0801_00_0: FAIL
--scene0759_00_195: FAIL
scene0707_00_585: scans/scene0707_00/pnvlad_pcd/scene0707_00_585_sub.bin
--scene0785_00_1035: FAIL
--scene0768_00_1095: FAIL
--scene0724_00_0: FAIL
scene0707_00_615: scans/scene0707_00/pnvlad_pcd/scene0707_00_615_sub.bin
--scene0785_00_735: FAIL
--scene0749_00_2205: FAIL
--scene0707_00_0: 0.5022931485973183 SUCCESS
scene0707_00_660: scans/scene0707_00/pnvlad_pcd/scene0707_00_660_sub.bin
--scene0721_00_1200: FAIL
--scene0767_00_0: FAIL
--scene0749_00_2205: FAIL
scene0707_00_705: scans/scene0707_00/pnvlad_pcd/scene0707_00_705_sub.bin
--scene0736_00_4260: FAIL
--scene0735_00_0: FAIL
--scene0753_00_795: FAIL
scene0707_00_735: scans/scene0707_00/pnvlad_pcd/scene0707_00_735_sub.bin
--scene0731_00_0: FAIL
--scene0774_00_0: FAIL
--scene0777_00_975: FAIL
scene0707_00_765: scans/scene0707_00/pnvlad_pcd/scene0707_00_765_sub.bin
--scene0777_00_435: FAIL
--scene0758_00_315: FAIL
--scene0757_00_1140: FAIL
scene0708_00_30: scans/scene0708_00/pnvlad_pcd/scene0708_00_30_sub.bin
--scene0761_00_2040: FAIL
--scene0757_00_1590: FAIL
--scene0802_00_930: FAIL
scene0708_00_105: scans/scene0708_00/pnvlad_pcd/scene0708_00_105_sub.bin
--scene0761_00_0: FAIL
--scene0760_00_0: FAIL
--scene0757_00_1590: FAIL
scene0708_00_225: scans/scene0708_00/pnvlad_pcd/scene0708_00_225_sub.bin
--scene0746_00_0: FAIL
--scene0757_00_2535: FAIL
--scene0790_00_570: FAIL
scene0708_00_240: scans/scene0708_00/pnvlad_pcd/scene0708_00_240_sub.bin
--scene0746_00_0: FAIL
--scene0761_00_2595: FAIL
--scene0757_00_1590: FAIL
scene0708_00_315: scans/scene0708_00/pnvlad_pcd/scene0708_00_315_sub.bin
--scene0791_00_0: FAIL
--scene0796_00_0: FAIL
--scene0782_00_885: FAIL
scene0708_00_345: scans/scene0708_00/pnvlad_pcd/scene0708_00_345_sub.bin
--scene0802_00_930: FAIL
--scene0783_00_0: FAIL
--scene0776_00_570: FAIL
scene0708_00_390: scans/scene0708_00/pnvlad_pcd/scene0708_00_390_sub.bin
--scene0805_00_645: FAIL
--scene0776_00_570: FAIL
--scene0776_00_1020: FAIL
