scene0707_00_60: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_60_sub.bin
  scene0775_00_450: FAIL
  scene0724_00_0: FAIL
  scene0787_00_1005: FAIL
scene0707_00_105: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_105_sub.bin
  scene0787_00_1005: FAIL
  scene0754_00_2550: FAIL
  scene0740_00_525: FAIL
scene0707_00_180: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_180_sub.bin
  scene0757_00_0: FAIL
  scene0757_00_4050: FAIL
  scene0762_00_1020: FAIL
scene0707_00_195: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_195_sub.bin
  scene0763_00_0: FAIL
  scene0712_00_0: FAIL
  scene0745_00_660: FAIL
scene0707_00_225: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_225_sub.bin
  scene0740_00_0: FAIL
  scene0795_00_0: FAIL
  scene0787_00_0: FAIL
scene0707_00_300: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_300_sub.bin
  scene0710_00_0: FAIL
  scene0787_00_1425: FAIL
  scene0709_00_735: FAIL
scene0707_00_345: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_345_sub.bin
  scene0710_00_0: FAIL
  scene0722_00_0: FAIL
  scene0761_00_390: FAIL
scene0707_00_390: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_390_sub.bin
  scene0775_00_915: FAIL
  scene0749_00_2010: FAIL
  scene0790_00_570: FAIL
scene0707_00_465: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_465_sub.bin
  scene0803_00_990: FAIL
  scene0762_00_1020: FAIL
  scene0746_00_0: FAIL
scene0707_00_495: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_495_sub.bin
  scene0804_00_0: FAIL
  scene0740_00_0: FAIL
  scene0797_00_525: FAIL
scene0707_00_540: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_540_sub.bin
  scene0787_00_1425: FAIL
  scene0742_00_0: FAIL
  scene0709_00_735: FAIL
scene0707_00_585: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_585_sub.bin
  scene0733_00_810: FAIL
  scene0769_00_0: FAIL
  scene0785_00_2970: FAIL
scene0707_00_615: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_615_sub.bin
  scene0803_00_990: FAIL
  scene0762_00_1020: FAIL
  scene0779_00_0: FAIL
scene0707_00_660: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_660_sub.bin
  scene0797_00_0: FAIL
  scene0756_00_0: FAIL
  scene0711_00_0: FAIL
scene0707_00_705: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_705_sub.bin
  scene0757_00_4050: FAIL
  scene0745_00_0: FAIL
  scene0785_00_0: FAIL
scene0707_00_735: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_735_sub.bin
  scene0762_00_1020: FAIL
  scene0803_00_990: FAIL
  scene0757_00_0: FAIL
scene0707_00_765: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0707_00/scene0707_00_765_sub.bin
  scene0780_00_0: FAIL
  scene0717_00_150: FAIL
  scene0796_00_0: FAIL
scene0708_00_30: /media/adam/Datasets/datasets/ScanNet/scans/pnvlad_pcd/scene0708_00/scene0708_00_30_sub.bin
