# index_db index_all file_name
0 0 scene0707_00_0_sub.ply
1 6 scene0707_00_240_sub.ply
2 19 scene0708_00_0_sub.ply
3 24 scene0708_00_285_sub.ply
4 29 scene0708_00_600_sub.ply
5 32 scene0708_00_765_sub.ply
6 44 scene0709_00_0_sub.ply
7 51 scene0709_00_405_sub.ply
8 57 scene0709_00_735_sub.ply
9 62 scene0710_00_0_sub.ply
10 75 scene0710_00_1425_sub.ply
11 83 scene0711_00_0_sub.ply
12 88 scene0711_00_315_sub.ply
13 135 scene0712_00_0_sub.ply
14 204 scene0713_00_0_sub.ply
15 241 scene0714_00_0_sub.ply
16 246 scene0714_00_255_sub.ply
17 266 scene0715_00_0_sub.ply
18 270 scene0715_00_165_sub.ply
19 275 scene0715_00_330_sub.ply
20 285 scene0716_00_0_sub.ply
21 289 scene0716_00_180_sub.ply
22 293 scene0716_00_270_sub.ply
23 298 scene0716_00_480_sub.ply
24 301 scene0716_00_570_sub.ply
25 306 scene0717_00_0_sub.ply
26 310 scene0717_00_150_sub.ply
27 314 scene0717_00_345_sub.ply
28 332 scene0718_00_0_sub.ply
29 335 scene0718_00_120_sub.ply
30 338 scene0718_00_195_sub.ply
31 341 scene0718_00_270_sub.ply
32 344 scene0719_00_0_sub.ply
33 349 scene0719_00_345_sub.ply
34 365 scene0720_00_0_sub.ply
35 404 scene0721_00_0_sub.ply
36 411 scene0721_00_375_sub.ply
37 420 scene0721_00_840_sub.ply
38 428 scene0721_00_1200_sub.ply
39 462 scene0722_00_0_sub.ply
40 466 scene0722_00_165_sub.ply
41 471 scene0722_00_375_sub.ply
42 487 scene0723_00_0_sub.ply
43 511 scene0724_00_0_sub.ply
44 529 scene0725_00_0_sub.ply
45 542 scene0726_00_0_sub.ply
46 553 scene0727_00_0_sub.ply
47 579 scene0728_00_0_sub.ply
48 588 scene0729_00_0_sub.ply
49 602 scene0730_00_0_sub.ply
50 619 scene0731_00_0_sub.ply
51 635 scene0732_00_0_sub.ply
52 661 scene0733_00_0_sub.ply
53 675 scene0733_00_810_sub.ply
54 683 scene0733_00_1275_sub.ply
55 685 scene0734_00_0_sub.ply
56 707 scene0734_00_1155_sub.ply
57 723 scene0734_00_1905_sub.ply
58 725 scene0735_00_0_sub.ply
